,tau_awakening,tau_survive,D_max,filename
0,100,40000,32615,../out/F2a/00000_001.pk
1,500,40000,32615,../out/F2a/00001_001.pk
2,1000,40000,32615,../out/F2a/00002_001.pk
3,2000,40000,32615,../out/F2a/00003_001.pk
4,4000,40000,32615,../out/F2a/00004_001.pk
5,5000,40000,32615,../out/F2a/00005_001.pk
