,tau_awakening,tau_survive,D_max,filename
0,1000,3000,40000,../out/F2b/00000_001.pk
1,1000,4000,40000,../out/F2b/00001_001.pk
2,1000,5000,40000,../out/F2b/00002_001.pk
3,1000,10000,40000,../out/F2b/00003_001.pk
4,1000,50000,40000,../out/F2b/00004_001.pk
