,tau_awakening,tau_survive,D_max,filename
0,50000,10000,40000,../out/F5a/00000_001.pk
1,50000,50000,40000,../out/F5a/00001_001.pk
2,50000,100000,40000,../out/F5a/00002_001.pk
3,50000,200000,40000,../out/F5a/00003_001.pk
4,50000,300000,40000,../out/F5a/00004_001.pk
5,50000,400000,40000,../out/F5a/00005_001.pk
